Scientific_Name	Group	Plot	Sample_Name	Tube_No	Type_of_Sample	Total_Weight	Cup_No	pXRF_measurement_ID	ICP	Material	Cl_concentration	Cl_uncertainty	Ca_concentration	Ca_uncertainty	Ti_concentration	Ti_uncertainty	Cr_concentration	Cr_uncertainty	Mn_concentration	Mn_uncertainty	Fe_concentration	Fe_uncertainty	Co_concentration	Co_uncertainty	Ni_concentration	Ni_uncertainty	Cu_concentration	Cu_uncertainty	Zn_concentration	Zn_uncertainty	As_concentration	As_uncertainty	Se_concentration	Se_uncertainty	Cd_concentration	Cd_uncertainty	Re_concentration	Re_uncertainty	Hg_concentration	Hg_uncertainty	Tl_concentration	Tl_uncertainty	Pb_concentration	Pb_uncertainty	Substrate_RT
Allionia incarnata	G3	P1	P1_30	28	leaf	0.166	18	2127	n	Plant	306	178	22621	439	132	22.5	4.8	4	47.8	10.7	1709	46.9	ND<3.3	3.3	ND<1.2	1.2	8.1	3.2	11.8	3.8	2.5	1.5	ND<0.6	0.6	ND<4.7	4.7	ND<2.1	2.1	ND<0.6	0.6	ND<0.7	0.7	ND<2.5	2.5	0.014363615
Allionia incarnata	G3	P1	P1_29_1_2	29	leaf	0.213	19	2128	n	Plant	527	259	47147	698	124	25.7	10.9	6.2	25.2	9.1	866	30.8	ND<2.3	2.3	ND<1.2	1.2	35.9	5	ND<1.2	1.2	6.5	0.4	0.8	0.6	ND<3.8	3.8	ND<1.9	1.9	ND<0.5	0.5	ND<0.5	0.5	ND<1.0	1	0.034562402
Allionia incarnata	G3	P2	P2_E12_1	32	leaf	0.183	21	2130	n	Plant	4756	619	29095	530	90.3	20.5	10.6	5.6	ND<5.8	5.8	668	26.6	ND<2.0	2	ND<1.2	1.2	26.1	4.6	ND<1.5	1.5	4.4	1.2	2.7	1	20.1	20.1	6.4	3.4	ND<0.7	0.7	ND<0.9	0.9	ND<1.9	1.9	0.024824264
Allionia incarnata	G3	P2	P2_E12_2	26	leaf	0.164	22	2131	n	Plant	753	234	6209	233	30.6	11.5	ND<2.5	2.5	ND<5.1	5.1	371	23.4	ND<2.2	2.2	ND<1.5	1.5	7.9	3.2	ND<1.7	1.7	3.3	1.6	3.6	1.5	ND<14.2	14.2	ND<2.9	2.9	ND<0.8	0.8	ND<1.2	1.2	ND<2.8	2.8	0.011043405
Allionia incarnata	G3	P5	P5_66_1	21;22	leaf	0.497	23	2132	n	Plant	1655	384	43617	660	153	27.5	10	5.9	40.3	10	1133	33.8	ND<2.3	2.3	ND<1.2	1.2	44.3	4.8	ND<1.6	1.6	4.5	0.3	1.8	0.7	ND<4.9	4.9	3.4	2.4	ND<0.5	0.5	ND<0.4	0.4	ND<0.9	0.9	0.048454367
Allionia incarnata	G3	P5	P5_66_2	23	leaf	0.078	24	2133	n	Plant	448	230	31671	545	180	27.6	22.3	7.8	ND<5.2	5.2	1333	36.6	ND<2.7	2.7	ND<1.6	1.6	46.4	6.6	ND<1.5	1.5	12.8	0.6	ND<0.6	0.6	ND<6.5	6.5	ND<1.9	1.9	ND<0.6	0.6	ND<0.6	0.6	ND<1.2	1.2	0.03140413
Allionia incarnata	G3	P5	P5_66_3_2	24;25	leaf	0.273	26	2135	n	Plant	996	310	39959	625	125	24.5	15	6.7	ND<6.6	6.6	773	28.3	ND<2.1	2.1	ND<1.3	1.3	81	6.8	ND<1.3	1.3	8.6	0.5	0.9	0.7	14.6	14.6	ND<1.8	1.8	ND<0.5	0.5	ND<0.5	0.5	ND<1.0	1	0.035479032
Eragrostis lehmanniana	G6	P1	P1_31_2	46;47	leaf-stem	0.832	28	2137	n	Plant	562	199	2984	146	17	9.3	4.3	3.5	ND<2.1	2.1	22.2	4.1	ND<0.9	0.9	ND<0.7	0.7	ND<1.4	1.4	4.4	1.5	1.4	0.5	0.3	0.3	ND<4.2	4.2	ND<1.0	1	ND<0.3	0.3	ND<0.3	0.3	ND<1.0	1	0.072966754
Eragrostis lehmanniana	G6	P1	P1_31	56;57	leaf-stem	0.9	29	2138	n	Plant	1349	297	3312	162	16.3	9.6	4.8	3.5	ND<3.7	3.7	42.9	5.5	ND<0.9	0.9	ND<0.7	0.7	2.2	1.3	3.4	1.5	2	0.6	1.6	0.5	ND<2.4	2.4	ND<1.0	1	ND<0.3	0.3	ND<0.3	0.3	ND<0.6	0.6	0.073856868
Eragrostis lehmanniana	G6	P2	P2_E6	42;43	leaf-stem	0.627	31	2140	n	Plant	1508	317	5005	198	28.3	11.2	8.3	4.4	ND<2.4	2.4	14.9	4	ND<1.0	1	ND<0.9	0.9	ND<1.3	1.3	9.3	2.2	4	0.3	0.5	0.4	ND<4.3	4.3	ND<1.2	1.2	ND<0.3	0.3	ND<0.3	0.3	ND<0.7	0.7	0.069083653
Eragrostis lehmanniana	G6	P2	P2_E7	58;59	leaf-stem	0.85	32	2141	n	Plant	1877	348	3332	164	ND<7.1	7.1	5	3.7	ND<2.6	2.6	47.4	6	ND<0.9	0.9	ND<0.8	0.8	ND<1.2	1.2	23.3	2.5	3.4	0.2	ND<0.3	0.3	ND<2.7	2.7	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<0.6	0.6	0.069922172
Eragrostis lehmanniana	G6	P2	P2_E6_1_1	54;55	leaf-stem	1.03	34	2143	n	Plant	969	252	2585	136	ND<6.5	6.5	3.2	3.1	ND<3.1	3.1	36.9	4.8	ND<0.8	0.8	ND<0.6	0.6	5	1.5	3.7	1.3	1.4	0.5	0.4	0.4	ND<2.3	2.3	ND<1.0	1	ND<0.3	0.3	ND<0.3	0.3	ND<0.9	0.9	0.090995118
Eragrostis lehmanniana	G6	P6	P6_85_2	52;53	leaf-stem	0.631	36	2145	n	Plant	558	202	3331	156	33.3	11.4	11.3	4.7	ND<2.5	2.5	106	8.5	ND<1.0	1	ND<0.8	0.8	53	4.2	ND<0.6	0.6	4.6	0.3	0.5	0.4	ND<2.6	2.6	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<0.6	0.6	0.071287595
Eragrostis lehmanniana	G6	P5	P5_62_3	44;45	leaf-stem	0.778	38	2147	n	Plant	811	234	2525	137	ND<6.7	6.7	2.3	2.3	8.3	4.1	52.5	5.8	ND<0.9	0.9	ND<0.7	0.7	9.5	1.9	2.7	1.3	1.3	0.5	0.7	0.4	ND<2.5	2.5	ND<1.0	1	ND<0.3	0.3	ND<0.4	0.4	ND<1.1	1.1	0.071814202
Nultuma (Prosopis) velutina	G8	P1	P1_33_1	71;72	leaf	1.227	41	2154	n	Plant	683	245	20776	425	20.2	11.7	6.6	4.2	57.8	9.6	45.1	6.5	ND<1.1	1.1	ND<0.9	0.9	82.1	4.9	8.1	2	2.2	0.6	4.9	0.8	ND<2.3	2.3	11.7	2.4	ND<0.5	0.5	ND<0.4	0.4	ND<1.2	1.2	0.078900702
Nultuma (Prosopis) velutina	G8	P1	P1_33	73;74	leaf	0.969	43	2156	n	Plant	891	282	21846	435	ND<7.9	7.9	6.2	4.4	32.2	8.3	48	6.9	ND<1.1	1.1	ND<1.0	1	69.8	4.8	10	2.2	3	0.2	2.8	0.6	ND<2.3	2.3	4	2	ND<0.4	0.4	ND<0.4	0.4	ND<0.7	0.7	0.07443361
Nultuma (Prosopis) velutina	G8	P5	P5_65_1	75;76	leaf	0.909	46	2159	n	Plant	1758	343	13333	326	26.6	11.9	5.7	4.1	32.8	7.7	54.8	6.8	ND<1.0	1	ND<0.8	0.8	48	3.8	9.7	1.9	2	0.6	5	0.7	ND<2.4	2.4	ND<1.2	1.2	ND<0.3	0.3	ND<0.3	0.3	ND<1.1	1.1	0.079537496
Nultuma (Prosopis) velutina	G8	P5	P5_65_2	77;78	leaf	0.975	47	2160	n	Plant	576	224	16256	362	23.8	11.8	ND<2.7	2.7	45.6	8.2	98.2	8.7	ND<1.1	1.1	ND<0.9	0.9	82.6	4.8	7.8	1.8	1.7	0.6	1.7	0.5	ND<2.6	2.6	ND<1.2	1.2	ND<0.3	0.3	ND<0.5	0.5	ND<1.2	1.2	0.073813483
Solanum elaeagnifolium	G13	P1	P1_4	87;88	leaf	0.404	50	2168	n	Plant	392	201	12843	346	62.1	16.9	11.9	6.1	ND<4.1	4.1	254	15.4	ND<1.5	1.5	ND<1.1	1.1	ND<2.4	2.4	ND<1.5	1.5	7.7	0.4	ND<0.5	0.5	ND<3.0	3	ND<1.5	1.5	ND<0.4	0.4	ND<0.5	0.5	ND<0.8	0.8	0.045562532
Solanum elaeagnifolium	G13	P1	P1_24	91;92	leaf	0.701	51	2169	n	Plant	9904	802	23141	463	50.3	16.3	7.7	5.2	19.5	8.6	248	15.1	ND<1.6	1.6	ND<1.1	1.1	20.3	4	8.2	3	4.9	0.4	2.4	0.7	ND<5.4	5.4	16.4	3.4	ND<1.0	1	ND<0.6	0.6	ND<0.9	0.9	0.051134165
Solanum elaeagnifolium	G13	P1	P1_44	90	leaf	0.166	52	2170	n	Plant	2680	431	14901	366	59.6	16.4	11.7	5.7	ND<4.4	4.4	353	18.1	ND<1.7	1.7	ND<1.2	1.2	ND<2.4	2.4	ND<1.5	1.5	7.7	0.5	ND<0.5	0.5	ND<3.5	3.5	ND<1.6	1.6	ND<0.5	0.5	ND<0.5	0.5	ND<0.9	0.9	0.036363732
Solanum elaeagnifolium	G13	P2	P2_38	95;96	leaf	0.731	54	2172	n	Plant	3357	477	24165	466	59.1	17.1	5.2	4.7	ND<5.7	5.7	383	18.2	ND<1.6	1.6	ND<1.0	1	42.2	4.5	16.4	2.9	3.4	0.3	2.5	0.7	ND<5.2	5.2	ND<1.6	1.6	ND<0.5	0.5	ND<0.4	0.4	ND<0.9	0.9	0.050528556
Solanum elaeagnifolium	G13	P2	P2_38_1	93;94	leaf	0.767	55	2173	n	Plant	2387	408	22002	454	72	18.6	3.5	3.5	ND<6.6	6.6	278	15.8	ND<1.7	1.7	ND<1.0	1	14.3	3.4	5.2	2.4	3.8	0.3	1.3	0.6	ND<3.0	3	3.3	2.3	ND<0.5	0.5	ND<0.4	0.4	ND<0.7	0.7	0.063960969
Solanum elaeagnifolium	G13	P5	P5_58_2	105;106	leaf	0.702	56	2174	n	Plant	2288	406	27987	512	98.4	21.5	7	5.2	37.3	9.9	593	23	ND<1.9	1.9	ND<1.1	1.1	34.9	4.5	ND<1.8	1.8	4.5	0.3	1.5	0.6	ND<4.9	4.9	ND<1.8	1.8	ND<0.7	0.7	ND<0.6	0.6	ND<0.8	0.8	0.057675812
Solanum elaeagnifolium	G13	P5	P5_58_1	99;100	leaf	0.715	58	2176	n	Plant	897	267	15381	375	55.6	16.3	5.9	4.8	ND<3.9	3.9	266	15.1	ND<1.5	1.5	ND<1.0	1	12.4	3.5	9.7	2.8	5.2	0.3	0.5	0.5	ND<4.7	4.7	ND<1.4	1.4	ND<0.4	0.4	ND<0.4	0.4	ND<0.8	0.8	0.055101551
Solanum elaeagnifolium	G13	P5	P5_58_4	101;102	leaf	0.777	59	2177	n	Plant	1123	290	13882	356	43.3	14.9	ND<3.1	3.1	ND<5.3	5.3	279	15.2	ND<1.5	1.5	ND<0.9	0.9	17.1	3.4	3.9	2.3	3.8	0.3	0.4	0.4	ND<5.1	5.1	ND<1.3	1.3	ND<0.4	0.4	ND<0.4	0.4	ND<0.8	0.8	0.0531567
Solanum elaeagnifolium	G13	P5	P5_58_3	103;104	leaf	0.63	60	2178	n	Plant	2249	400	19326	430	31.7	14.2	10.2	5.6	ND<4.2	4.2	202	14	ND<1.6	1.6	ND<1.1	1.1	6.4	3.4	ND<1.2	1.2	6.3	0.4	ND<0.4	0.4	ND<3.0	3	ND<1.4	1.4	ND<0.4	0.4	ND<0.4	0.4	ND<0.8	0.8	0.053376161
Solanum elaeagnifolium	G13	P6	P6_81	109	leaf	0.106	61	2179	n	Plant	1164	294	8524	274	93.1	18.7	16.8	6.7	ND<5.3	5.3	310	20.3	ND<2.1	2.1	ND<1.8	1.8	ND<3.7	3.7	ND<1.6	1.6	7.6	0.7	ND<0.5	0.5	ND<4.8	4.8	ND<2.0	2	ND<0.6	0.6	ND<0.7	0.7	ND<1.3	1.3	0.017827697
Allionia incarnata	G3	P1	P1_29	110	leaf	0.192	63	2184	n	Plant	905	301	41605	645	179	29.3	14.5	6.8	25.8	10	1230	37	ND<2.5	2.5	ND<1.4	1.4	30.3	5.2	ND<2.3	2.3	6.1	0.5	ND<0.6	0.6	ND<7.8	7.8	ND<1.8	1.8	ND<0.5	0.5	ND<0.5	0.5	ND<1.2	1.2	0.026652504
Eragrostis lehmanniana	G6	P5	P5_62	115	leaf-stem	0.569	65	2186	n	Plant	1078	268	2157	134	ND<6.0	6	3	3	14.5	5	16.7	3.6	ND<0.8	0.8	ND<0.7	0.7	ND<1.4	1.4	2.7	1.4	1.4	0.6	0.4	0.4	ND<2.8	2.8	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<1.1	1.1	0.060786761
Bothriochloa barbinodis	G1	P5	P5_69_1	113;114	leaf-stem	0.796	66	2187	n	Plant	2388	398	4066	190	ND<7.1	7.1	13.3	5.2	ND<2.4	2.4	34.1	5.5	ND<1.0	1	ND<0.9	0.9	ND<1.3	1.3	9.4	2.2	4.6	0.3	1.1	0.5	ND<2.5	2.5	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<0.6	0.6	0.07696639
Solanum elaeagnifolium	G13	P1	P1_25	111;112	leaf	0.808	67	2188	n	Plant	4956	556	8979	278	ND<7.2	7.2	ND<2.0	2	11	4.2	69.4	7.1	ND<1.0	1	ND<1.1	1.1	16.4	2.3	21.6	2.4	0.7	0.5	0.8	0.5	ND<3.1	3.1	7.7	2.2	ND<0.5	0.5	ND<0.5	0.5	ND<1.1	1.1	0.049163099
Isocoma cf. tenuisecta	G18	P2	P2_EX1_1	129;130	leaf	1.034	69	2190	n	Plant	1373	320	10613	307	25.2	11.9	ND<2.5	2.5	135	13	278	14.4	ND<1.3	1.3	ND<1.3	1.3	44.1	3.6	16.8	2.5	ND<0.3	0.3	55.2	2.2	ND<2.5	2.5	29.5	3.2	ND<0.7	0.7	ND<0.5	0.5	ND<1.9	1.9	0.079580434
Portulaca suffrutescens	G7	P1	P1_48_1	116	leaf-stem	0.046	73	2194	n	Plant	418	206	5988	264	52.1	16.3	10.4	6.6	ND<5.2	5.2	167	17.9	ND<2.3	2.3	ND<1.9	1.9	ND<3.5	3.5	ND<2.5	2.5	5.9	2.2	ND<0.6	0.6	ND<5.8	5.8	ND<2.8	2.8	ND<0.8	0.8	ND<0.7	0.7	ND<2.8	2.8	0.011740174
Portulaca suffrutescens	G7	P1	P1_48_2	118	leaf-stem	0.008	74	2195	n	Plant	ND<73.6	73.6	354	63.7	ND<8.0	8	18.1	9.1	ND<4.2	4.2	ND<7.9	7.9	ND<2.9	2.9	ND<2.8	2.8	ND<4.4	4.4	ND<2.1	2.1	10.7	4	ND<0.9	0.9	ND<25.1	25.1	ND<4.4	4.4	ND<1.2	1.2	ND<1.3	1.3	ND<4.6	4.6	0.005705923
Portulaca suffrutescens	G7	P2	P2_E8	122	leaf-stem	0.14	75	2196	n	Plant	413	203	4852	229	56	15.9	11.8	5.9	ND<3.4	3.4	145	12.7	ND<1.6	1.6	ND<1.3	1.3	10.4	4.4	9.7	3.9	6.4	0.5	ND<0.4	0.4	ND<4.2	4.2	ND<1.5	1.5	ND<0.4	0.4	ND<0.5	0.5	ND<0.9	0.9	0.030848213
Portulaca suffrutescens	G7	P5	P5_E4_1	124	leaf-stem	0.145	78	2199	n	Plant	513	220	7830	289	64.9	17.3	9.7	5.7	ND<3.5	3.5	54.2	8.9	ND<1.4	1.4	ND<1.2	1.2	ND<2.2	2.2	ND<1.8	1.8	5.2	1.4	ND<0.3	0.3	ND<4.9	4.9	ND<1.7	1.7	ND<0.5	0.5	ND<0.6	0.6	ND<1.8	1.8	0.022429016
Portulaca suffrutescens	G7	P5	P5_E4_2	127;128	leaf-stem	0.684	79	2200	n	Plant	ND<127	127	11631	336	101	20.5	ND<3.2	3.2	ND<3.7	3.7	86.3	9	ND<1.2	1.2	ND<1.0	1	7.2	2.5	8.9	2.2	2.8	0.3	ND<0.3	0.3	ND<2.6	2.6	ND<1.2	1.2	ND<0.4	0.4	ND<0.3	0.3	ND<0.7	0.7	0.074795745
Portulaca suffrutescens	G7	P6	P6_76	120	leaf-stem	0.321	80	2201	n	Plant	1464	324	6274	248	61.4	16.2	4.6	4.3	ND<3.4	3.4	94.6	9.4	ND<1.2	1.2	ND<1.1	1.1	38.9	4.5	9.5	2.7	3.7	0.3	0.5	0.5	ND<3.4	3.4	ND<1.3	1.3	ND<0.4	0.4	ND<0.4	0.4	ND<0.8	0.8	0.039652657
Portulaca suffrutescens	G7	P6	P6_76_2	123	leaf-stem	0.021	82	2203	n	Plant	ND<75.5	75.5	1280	116	41.5	14.6	13.7	8	ND<4.2	4.2	15.4	9.2	ND<2.7	2.7	ND<2.5	2.5	ND<5.5	5.5	ND<2.0	2	14.5	4.1	ND<0.9	0.9	ND<23.0	23	ND<3.6	3.6	ND<1.1	1.1	ND<1.2	1.2	ND<3.5	3.5	0.007136526
Cynodon dactylon	G9	P1	P1_46_1	154;155	leaf-stem	0.808	90	2218	n	Plant	1620	331	4763	200	27.4	11.4	7.8	4.4	ND<4.7	4.7	73.4	7.5	ND<1.0	1	ND<0.9	0.9	6.7	2.4	14.4	2.3	3.5	0.3	1.7	0.5	ND<4.2	4.2	ND<1.0	1	ND<0.3	0.3	ND<0.3	0.3	ND<0.6	0.6	0.077764772
Cynodon dactylon	G9	P1	P1_46_2	156;157	leaf-stem	0.766	91	2219	n	Plant	1088	276	4797	196	19.2	10.3	3.4	3.4	ND<4.0	4	83.9	7.6	ND<1.0	1	ND<0.8	0.8	5.6	2	ND<0.6	0.6	2.5	0.2	1.9	0.5	ND<2.2	2.2	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<0.7	0.7	0.077212013
Cynodon dactylon	G9	P2	P2_SW1	160;161	leaf-stem	0.876	92	2220	n	Plant	2804	429	4452	195	ND<7.6	7.6	9.2	4.6	14.2	6.3	51.7	6.5	ND<1.0	1	ND<0.8	0.8	ND<1.3	1.3	ND<1.3	1.3	3.9	0.3	2.2	0.6	ND<3.9	3.9	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<0.7	0.7	0.083066382
Cynodon dactylon	G9	P2	P2_SW2	158;159	leaf-stem	0.842	93	2221	n	Plant	2401	395	3134	166	17.4	10.1	3.7	3.7	ND<4.0	4	36.9	5.5	ND<0.9	0.9	ND<0.8	0.8	2.9	1.6	29.5	2.6	2.2	0.6	1.2	0.5	ND<4.3	4.3	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<1.0	1	0.077725619
Cynodon dactylon	G9	P5	P5_65X	170;171	leaf-stem	0.777	95	2223	n	Plant	2807	431	4525	200	ND<7.5	7.5	6	3.9	ND<4.4	4.4	24.7	4.6	ND<1.0	1	ND<0.8	0.8	ND<1.7	1.7	13.8	2.1	2.4	0.2	2	0.5	ND<4.1	4.1	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<0.7	0.7	0.072389409
Cynodon dactylon	G9	P5	P5_65X_1	174;175	leaf-stem	0.623	96	2224	n	Plant	3015	442	5392	214	38	12.6	5	3.8	27.7	7.2	56.3	6.9	ND<0.9	0.9	ND<0.9	0.9	ND<2.1	2.1	ND<1.3	1.3	2.8	0.8	1.2	0.6	ND<3.2	3.2	ND<1.2	1.2	ND<0.4	0.4	ND<0.3	0.3	ND<1.3	1.3	0.045760609
Cynodon dactylon	G9	P5	P5_65X_2	172;173	leaf-stem	0.793	97	2225	n	Plant	2299	389	4773	202	20.6	10.5	6.9	4.1	19.1	6.1	65.5	7	ND<1.0	1	ND<0.8	0.8	2.8	1.6	10.3	2	2.2	0.7	2	0.6	ND<2.1	2.1	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<1.1	1.1	0.07160946
Cynodon dactylon	G9	P5	P5_67_1	168;169	leaf-stem	0.714	99	2227	n	Plant	2153	378	3801	182	ND<7.1	7.1	8	4.4	14.2	6.1	26	4.9	ND<1.0	1	ND<0.9	0.9	ND<1.3	1.3	19.5	2.4	3.6	0.2	1	0.5	ND<2.1	2.1	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<0.6	0.6	0.07878805
Cynodon dactylon	G9	P5	P5_67_2	166;167	leaf-stem	0.799	100	2228	n	Plant	1948	359	6509	230	29.9	11.7	7.9	4.3	51.3	8.7	74	7.5	ND<1.0	1	ND<0.8	0.8	7.3	2.2	13.4	2.1	2.7	0.2	1.5	0.5	ND<2.3	2.3	ND<1.1	1.1	ND<0.3	0.3	ND<0.3	0.3	ND<0.6	0.6	0.080150701
Gutierrezia sarothrae 	G17	P1	P1_42	176	leaf	0.736	101	2232	n	Plant	2249	380	10642	300	25.1	12.2	2.9	2.9	38	7.1	142	10.1	ND<1.1	1.1	ND<0.8	0.8	38.1	3.2	40.2	2.9	0.9	0.5	0.5	0.4	ND<4.2	4.2	5.1	1.9	ND<0.4	0.4	ND<0.3	0.3	ND<1.1	1.1	0.070584901
Gutierrezia sarothrae 	G17	P1	P1_45	177	leaf	0.827	102	2233	n	Plant	833	247	11861	309	ND<7.6	7.6	ND<1.3	1.3	16.8	5	67.2	6.8	ND<0.9	0.9	ND<1.0	1	27.2	2.6	30.4	2.4	0.3	0.3	1.6	0.5	ND<2.4	2.4	3.6	1.7	ND<0.4	0.4	ND<0.3	0.3	ND<1.0	1	0.081872746
Gutierrezia sarothrae 	G17	P5	P5_61_1	180	leaf	0.809	105	2236	n	Plant	1494	317	10317	295	ND<8.3	8.3	ND<2.2	2.2	27.2	6.1	115	9	ND<1.0	1	ND<1.0	1	18.4	2.2	27.2	2.3	0.9	0.5	0.9	0.4	ND<2.3	2.3	ND<1.0	1	ND<0.3	0.3	ND<0.3	0.3	ND<1.0	1	0.078088716
Gutierrezia sarothrae 	G17	P5	P5_61_2	181	leaf	0.66	106	2237	n	Plant	1310	300	9201	282	ND<7.9	7.9	ND<2.4	2.4	32.2	6.6	45.5	5.8	ND<0.9	0.9	ND<1.1	1.1	18.7	2.4	35.2	2.7	0.9	0.5	0.6	0.4	ND<2.3	2.3	ND<1.2	1.2	0.6	0.6	ND<0.3	0.3	ND<1.1	1.1	0.068243265
Gutierrezia sarothrae 	G17	P5	P5_61_3	182;183	leaf	0.884	108	2239	n	Plant	1565	325	8642	275	ND<7.6	7.6	4	3.9	24	6.7	47.6	6.3	ND<1.1	1.1	ND<0.9	0.9	14.3	2.6	28.7	2.7	2	0.6	0.5	0.4	ND<4.0	4	1.4	1.4	ND<0.4	0.4	ND<0.3	0.3	ND<1.0	1	0.083854675
